Location,State,Total Biomass Residue (thousand tonnes/yr),Crop Residue,Manure Residue,Forest Residue,Primary Mill Residue,Secondary Mill Residue,Urban Residue,Landfill Residue
Kauai,Hawaii,91042.440,78008.350,58.925,0.000,0.000,750.730,6477.550,5650.210
Honolulu,Hawaii,140799.312,0.000,1534.539,0.000,0.000,6250.154,96169.257,35396.550
Prince of Wales-,Alaska,907650.107,0.000,0.000,726413.000,180375.000,244.800,607.144,0.000
Maui,Hawaii,341288.310,318424.400,170.974,0.000,0.000,1004.594,14084.364,7392.161
Sumter,Alabama,196875.164,0.000,504.283,60295.000,25055.000,493.682,1954.436,0.000
Perry,Alabama,151569.071,0.000,18.524,29079.000,0.000,0.000,1384.280,0.000
Lee,Alabama,614952.190,991.114,51.045,24915.000,554056.000,281.542,12215.154,13853.161
Dallas,Alabama,366913.651,7029.761,57.425,62340.000,138952.000,771.142,5336.929,0.000
Covington,Alabama,158981.836,8726.061,3064.205,32474.000,4164.000,501.847,4451.291,0.000
Houston,Alabama,129838.382,21242.282,504.456,19263.000,0.000,1518.689,9638.574,10758.273
Escambia,Alabama,350372.805,6734.818,33.961,42398.000,265050.000,505.930,4624.104,1754.217
Nicholas,West Virginia,202698.039,0.000,5.064,109872.000,88885.000,510.012,2774.670,0.000
Kent,Delaware,128716.702,83568.951,67.694,8790.000,5268.000,1486.030,13656.945,7137.361
Sussex,Delaware,209449.496,126587.038,431.747,38828.000,8415.000,1804.313,16975.130,7355.761
Adams,Wisconsin,104884.558,49788.833,18.225,42614.000,0.000,0.000,1943.294,116.000
Panola,Texas,86207.639,0.000,292.940,78443.000,0.000,244.800,2627.868,0.000
Lewis,Washington,737573.211,300.650,1576.407,151928.000,566015.000,1783.901,9701.691,6154.124
Franklin,Washington,71686.833,64891.776,888.724,0.000,0.000,257.047,5567.686,0.000
Benton,Washington,69954.653,53127.814,8.174,0.000,0.000,497.765,16085.302,0.000
Garfield,Washington,55750.631,55381.821,8.028,0.000,0.000,0.000,356.817,0.000
Columbia,Washington,72004.996,71539.057,0.000,0.000,0.000,8.165,451.054,0.000
